"DATAFLOW","LAST UPDATE","freq","unit","na_item","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2004","33200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2005","33710",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2006","34700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2007","35870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2008","36280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2009","34830",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2010","35390",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2011","36300",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2012","36390",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2013","36180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2014","36130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2015","36140",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2016","36390",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2017","36980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2018","37720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Austria","2019","38110",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2004","31640",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2005","32200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2006","32800",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2007","33760",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2008","33640",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2009","32700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2010","33330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2011","33460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2012","33490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2013","33490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2014","33870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2015","34360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2016","34620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2017","35050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2018","35520",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Belgium","2019","36090",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2004","3870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2005","4170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2006","4480",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2007","4800",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2008","5110",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2009","4970",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2010","5080",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2011","5320",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2012","5390",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2013","5390",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2014","5470",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2015","5700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2016","5910",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2017","6120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2018","6330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Bulgaria","2019","6630",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2004","52970",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2005","54180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2006","56000",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2007","57720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2008","58620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2009","56750",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2010","58170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2011","58730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2012","58820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2013","59200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2014","59920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2015","60220",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2016","60780",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2017","61170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2018","62500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Switzerland","2019","62800","p"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2004","22300",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2005","23050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2006","23740",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2007","24420",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2008","24680",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2009","23550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2010","23400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2011","22900",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2012","21780",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2013","20400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2014","20250",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2015","21050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2016","22310",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2017","23400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2018","24430",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Cyprus","2019","25370",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2004","12840",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2005","13650",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2006","14530",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2007","15250",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2008","15500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2009","14690",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2010","15020",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2011","15310",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2012","15170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2013","15160",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2014","15480",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2015","16290",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2016","16670",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2017","17490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2018","17990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Czechia","2019","18460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2004","29470",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2005","29730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2006","30930",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2007","31920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2008","32320",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2009","30580",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2010","31940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2011","33200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2012","33280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2013","33330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2014","33920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2015","34130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2016","34610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2017","35410",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2018","35690","p"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Germany (until 1990 former territory of the FRG)","2019","35980","p"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2004","43520",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2005","44400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2006","45990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2007","46210",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2008","45700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2009","43220",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2010","43840",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2011","44240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2012","44170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2013","44410",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2014","44890",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2015","45630",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2016","46720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2017","47740",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2018","48450",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Denmark","2019","49270",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Estonia","2004","10050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Estonia","2005","11070",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Estonia","2006","12230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Estonia","2007","13230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Estonia","2008","12590",""
