"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2004","Belgium","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Belgium","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Bulgaria","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","1",""
"2004","Bulgaria","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","0","n"
"2004","Czechia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","4",""
"2004","Czechia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","2",""
"2004","Denmark","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","26",""
"2004","Denmark","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","18",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","30",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","26",""
"2004","Estonia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","3",""
"2004","Estonia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","5",""
"2004","Ireland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Ireland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Greece","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","1",""
"2004","Greece","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
"2004","Spain","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","7",""
"2004","Spain","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","4",""
"2004","France","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","France","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Croatia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Croatia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Italy","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Italy","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Cyprus","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","3",""
"2004","Cyprus","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
"2004","Latvia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","2",""
"2004","Latvia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","2",""
"2004","Lithuania","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","1",""
"2004","Lithuania","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","0","n"
"2004","Luxembourg","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","30",""
"2004","Luxembourg","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","35",""
"2004","Hungary","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","4",""
"2004","Hungary","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
"2004","Malta","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Malta","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Netherlands","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","26",""
"2004","Netherlands","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","21",""
"2004","Austria","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","16",""
"2004","Austria","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","10",""
"2004","Poland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","4",""
"2004","Poland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
"2004","Portugal","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","4",""
"2004","Portugal","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","2",""
"2004","Romania","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Romania","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Slovenia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":","u"
"2004","Slovenia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":","u"
"2004","Slovakia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","6",""
"2004","Slovakia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","6",""
"2004","Finland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","27",""
"2004","Finland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","17",""
"2004","Sweden","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","36",""
"2004","Sweden","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","28",""
"2004","Iceland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Iceland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","20",""
"2004","Norway","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","38",""
"2004","Norway","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","29",""
"2004","Switzerland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Switzerland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","United Kingdom","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","25",""
"2004","United Kingdom","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","28",""
"2004","North Macedonia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","North Macedonia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Serbia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Serbia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2004","Turkey","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2004","Turkey","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2005","Belgium","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","12",""
"2005","Belgium","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","9",""
"2005","Bulgaria","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2005","Bulgaria","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2005","Czechia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","4",""
"2005","Czechia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","2",""
"2005","Denmark","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","31",""
"2005","Denmark","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","21",""
"2005","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","33",""
"2005","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","30",""
"2005","Estonia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":","u"
"2005","Estonia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","4",""
"2005","Ireland","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","18",""
"2005","Ireland","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","10",""
"2005","Greece","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","3",""
"2005","Greece","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
"2005","Spain","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","10",""
"2005","Spain","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","5",""
"2005","France","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2005","France","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2005","Croatia","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals",":",""
"2005","Croatia","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals",":",""
"2005","Italy","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","5",""
"2005","Italy","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","3",""
"2005","Cyprus","Last online purchase: in the last 3 months","Individuals living in cities","Percentage of individuals","6",""
"2005","Cyprus","Last online purchase: in the last 3 months","Individuals living in rural areas","Percentage of individuals","1",""
