"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2004","Belgium","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals",":",""
"2004","Belgium","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals",":",""
"2004","Belgium","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals",":",""
"2004","Belgium","Last online purchase: in the last 3 months","Students","Percentage of individuals",":",""
"2004","Bulgaria","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","0","n"
"2004","Bulgaria","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","0","n"
"2004","Bulgaria","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","1",""
"2004","Bulgaria","Last online purchase: in the last 3 months","Students","Percentage of individuals","1",""
"2004","Czechia","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","1",""
"2004","Czechia","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","3",""
"2004","Czechia","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","9",""
"2004","Czechia","Last online purchase: in the last 3 months","Students","Percentage of individuals","5",""
"2004","Denmark","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","18",""
"2004","Denmark","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","21",""
"2004","Denmark","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","30",""
"2004","Denmark","Last online purchase: in the last 3 months","Students","Percentage of individuals","35",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","20",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","30",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","38",""
"2004","Germany (until 1990 former territory of the FRG)","Last online purchase: in the last 3 months","Students","Percentage of individuals","42",""
"2004","Estonia","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","1",""
"2004","Estonia","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","3",""
"2004","Estonia","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","9",""
"2004","Estonia","Last online purchase: in the last 3 months","Students","Percentage of individuals","2",""
"2004","Ireland","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals","3",""
"2004","Ireland","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","10",""
"2004","Ireland","Last online purchase: in the last 3 months","Individuals with high formal education","Percentage of individuals","25",""
"2004","Ireland","Last online purchase: in the last 3 months","Students","Percentage of individuals","10",""
"2004","Greece","Last online purchase: in the last 3 months","Individuals with no or low formal education","Percentage of individuals",":","u"
"2004","Greece","Last online purchase: in the last 3 months","Individuals with medium formal education","Percentage of individuals","1",""
