"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2004","Belgium","Online purchases: books/magazines/newspapers/e-learning material","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: books/magazines/newspapers/e-learning material","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: books/magazines/newspapers/e-learning material","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: books/magazines/newspapers/e-learning material","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: clothes, sports goods","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: clothes, sports goods","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: clothes, sports goods","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Belgium","Online purchases: clothes, sports goods","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2004","Bulgaria","Online purchases: books/magazines/newspapers/e-learning material","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2004","Bulgaria","Online purchases: books/magazines/newspapers/e-learning material","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","36",""
"2004","Bulgaria","Online purchases: books/magazines/newspapers/e-learning material","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","54",""
"2004","Bulgaria","Online purchases: books/magazines/newspapers/e-learning material","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","59",""
"2004","Bulgaria","Online purchases: clothes, sports goods","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2004","Bulgaria","Online purchases: clothes, sports goods","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","11",""
"2004","Bulgaria","Online purchases: clothes, sports goods","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","6",""
"2004","Bulgaria","Online purchases: clothes, sports goods","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","7",""
"2004","Czechia","Online purchases: books/magazines/newspapers/e-learning material","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2004","Czechia","Online purchases: books/magazines/newspapers/e-learning material","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","24",""
"2004","Czechia","Online purchases: books/magazines/newspapers/e-learning material","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","34",""
"2004","Czechia","Online purchases: books/magazines/newspapers/e-learning material","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","39",""
"2004","Czechia","Online purchases: clothes, sports goods","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2004","Czechia","Online purchases: clothes, sports goods","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","19",""
"2004","Czechia","Online purchases: clothes, sports goods","Individuals with high formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","15",""
"2004","Czechia","Online purchases: clothes, sports goods","Students","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","15",""
"2004","Denmark","Online purchases: books/magazines/newspapers/e-learning material","Individuals with no or low formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","15",""
"2004","Denmark","Online purchases: books/magazines/newspapers/e-learning material","Individuals with medium formal education","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","25",""
