DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2004,10,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2005,15,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2006,20,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2007,22,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2008,24,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2009,28,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2010,29,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2011,33,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2012,39,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2013,43,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2014,41,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2015,46,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2016,45,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2017,51,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2018,50,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,AT,2019,51,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2005,9,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2006,11,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2007,14,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2008,13,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2009,23,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2010,28,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2011,30,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2012,34,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2013,37,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2014,40,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2015,45,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2016,44,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2017,49,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2018,47,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BE,2019,57,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2004,0,n
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2006,1,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2007,1,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2008,0,n
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2009,1,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2010,1,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2011,3,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2012,4,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2013,3,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2014,4,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2015,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2016,5,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2017,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2018,8,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG3,PC_IND,BG,2019,9,
